,id,denv,ev,hav,hcv,rv,wang_229E,wang_OC43,wang_SARS_COV2,sch_229E,sch_OC43,sch_SARS_COV2_33C,sch_SARS_COV2_37C
912,ARHGAP9,-4.309,-4.8212,-0.03368,-0.17995,-0.64344,-0.043384,-0.60411,-1.2162,-6.3502,-0.65307,0.21813,-0.40336
913,ARHGDIA,-5.8829,-5.5649,-0.71753,0.3793,0.65429,-0.62868,-0.38979,-1.1011,-2.8817,0.545,0.37155,0.31151
914,ARHGDIB,-6.5329,-4.2219,-0.086309,0.081052,0.27111,-0.11043,-0.25764,-0.46571,-1.7768,-0.65659,-0.31528,-0.027615
915,ARHGDIG,-6.3609,-5.0756,-0.4221,-0.50213,-3.6852,-0.16232,-0.63521,-0.38991,-1.1906,-0.078265,0.44996,0.69683
916,ARHGEF1,-5.6802,-4.9499,-0.069665,0.75314,-0.081463,-0.41094,-0.37151,-0.54756,1.2834,-0.41685,0.43306,0.065069
917,ARHGEF10,-4.9057,-4.1745,-0.046431,0.38729,-0.54839,0.15128,0.2085,-0.099902,-2.8126,0.22683,0.079225,-0.011332
918,ARHGEF10L,-5.0387,-4.162,0.036812,0.26466,-0.52295,0.0085029,-0.23521,-0.70508,-1.8861,-0.28377,-0.28219,-0.16487
919,ARHGEF11,-4.8221,-4.4573,0.18653,0.32519,-0.4544,-0.091127,-0.11144,-0.53152,-4.2324,-1.0025,0.29824,0.57428
920,ARHGEF12,-4.8145,-1.4647,-0.25531,0.06852,0.2899,0.48524,0.34441,-1.4804,-0.24617,-0.087761,0.29752,0.064502
921,ARHGEF15,-4.6585,-3.4166,-0.66719,-0.63335,-0.4671,-0.19266,-0.2415,-2.4247,-1.5422,-0.90457,-0.32147,-0.66574
922,ARHGEF16,-5.4222,-4.8264,-0.47073,0.52896,-0.68406,-0.82303,0.84125,-0.061146,0.25246,0.62109,0.42452,1.2016
923,ARHGEF17,-4.6148,-4.4828,-0.012574,0.06338,-0.21757,-0.61864,-0.34913,0.50921,-0.049935,-1.7867,-0.62447,0.10886
924,ARHGEF18,-4.7385,-3.6267,0.1905,0.037457,-0.62673,0.25867,0.28971,0.16314,-3.7671,0.45692,0.023165,-0.055333
925,ARHGEF19,-4.5957,-4.5034,-0.11538,0.45521,-0.31856,-0.65787,0.08749,-1.0578,-2.2276,-0.10779,0.35273,-0.062617
926,ARHGEF2,-5.4261,-3.8092,-0.36565,0.33161,-0.89506,-0.23742,0.0012832,-0.12992,-0.59082,-1.1024,-0.48112,-0.13239
927,ARHGEF25,-4.9908,-4.0763,0.099099,-0.45668,-0.041345,-0.29615,-1.1751,-0.36816,-0.066875,-0.50188,-0.34463,-0.087949
928,ARHGEF26,-6.0227,-4.5786,-0.20589,0.19462,-2.343,-0.32879,-0.087563,-0.30198,-1.1134,0.078128,-0.030516,0.29525
929,ARHGEF28,-5.1313,-4.4055,-0.23505,0.44491,-0.25951,-0.04449,-0.084293,-0.0025779,-0.21796,-0.57906,-0.40909,-0.1387
930,ARHGEF3,-5.321,-4.136,-0.19553,-0.38447,-0.54603,0.16001,-0.13496,0.12679,-1.1996,-0.36334,0.070757,0.15291
931,ARHGEF33,-3.3798,-2.9805,-0.4727,-0.20268,-0.087005,-0.6265,-0.2353,-1.2734,-0.68751,-0.92667,-0.17171,0.089734
932,ARHGEF35,-4.4563,-3.4374,-0.39224,-2.1215,-1.1115,-0.36776,0.18431,-0.11193,-4.0344,-0.5431,0.57919,0.039838
933,ARHGEF37,-5.2259,-4.8513,-0.17369,0.12796,0.80246,-0.32457,0.0029402,0.64372,-6.2453,-1.3643,-0.24793,-0.29274
934,ARHGEF38,-4.6298,-3.5922,-0.22958,0.50408,-0.27167,-0.0095971,-0.13477,-0.1131,0.88225,-0.48453,0.23086,-0.35422
935,ARHGEF39,-4.5457,-3.425,0.14303,-0.92703,-1.6232,0.097146,0.00094346,-1.4008,-0.53409,-1.0759,-0.27538,-0.24606
936,ARHGEF4,-5.6787,-4.5877,-0.21398,0.3124,-1.6529,-0.5631,0.093857,-0.30971,-3.8733,0.10076,0.454,-0.21264
937,ARHGEF40,-3.9004,-3.418,-0.15042,0.41032,-0.21063,-0.80972,-0.30576,-0.64402,-0.86561,-0.2497,0.3696,0.26386
938,ARHGEF5,-4.7333,-5.0606,0.030226,-0.056037,-0.71428,0.0065269,0.003797,0.57654,-0.73784,-0.73916,0.0085174,-0.034492
939,ARHGEF6,-5.3576,-5.2037,-0.1517,0.82994,0.23673,-0.25081,0.0538,-0.24725,-4.2625,-0.64137,-0.21945,-0.10412
940,ARHGEF7,-5.2543,-4.9445,0.26375,0.66018,-1.0136,0.065227,-0.19048,-1.4658,-2.8412,-0.48574,0.36271,0.24347
941,ARHGEF9,-5.7818,-5.1093,0.14879,0.81519,-0.23139,-0.027824,-0.17614,0.032372,-0.27387,-0.48142,-0.15714,-0.21551
942,ARID1A,-5.1772,-0.0064873,-0.65633,-1.1693,0.39359,-0.31853,-0.36408,0.064013,-0.51567,0.30446,0.43879,0.27284
943,ARID1B,-4.5457,-2.8567,-0.66716,0.79908,-0.20833,-0.56253,-0.11175,-1.2801,-3.1133,-0.93484,0.23174,0.096376
944,ARID2,-5.6573,-4.5666,0.47292,0.23982,-0.51626,0.41158,0.22565,-0.062236,2.7559,-0.39083,0.092048,-0.12792
945,ARID3A,-5.2238,-4.608,-0.52389,-0.63961,-0.27309,0.35068,-0.86631,-0.9833,-2.0463,0.32204,2.5764,0.68228
946,ARID3B,-5.7166,-5.0983,0.18496,-1.0939,-0.39577,0.43885,0.017699,-0.99079,-2.0983,-0.35525,-0.16424,-0.75009
947,ARID3C,-5.6215,-3.9603,0.15281,0.4524,1.2914,-0.34107,-0.76439,-0.66632,-6.4696,-0.25899,0.0055034,-0.12192
948,ARID4A,-4.1204,-4.9368,0.097272,-0.09752,-1.319,0.46037,-0.23382,-0.75996,-2.8076,0.9092,0.46586,0.44992
949,ARID4B,-5.6469,-4.7857,-0.055576,-0.82164,-0.060201,0.44754,0.18221,-0.43016,-3.2722,-1.1573,0.43377,0.094539
950,ARID5A,-5.3323,-4.2751,0.11337,-0.55779,-0.11208,-0.5338,-1.0332,-0.42259,-3.3483,-1.0937,-0.074845,0.06711
951,ARID5B,-4.8977,-4.818,0.28898,-0.41034,-0.52404,-0.091635,-0.68768,-0.26517,-4.4212,-0.99213,-0.20513,0.0064474
952,ARIH1,-5.3485,-4.1635,-1.1804,-0.92416,0.24936,-0.96073,-0.806,-2.2027,-3.1877,-1.5213,0.99277,-0.24931
953,ARIH2,-5.3217,-4.9705,-0.10028,0.70341,-0.18621,0.033759,-0.045503,0.25427,-6.9795,-0.80088,-0.21563,-0.25733
954,ARIH2OS,-4.8083,-4.2648,0.10991,-1.0618,-1.1047,-0.43279,-0.98169,-0.014058,-2.5406,-0.33191,-0.19491,0.088701
955,ARL1,-5.5388,-5.0863,-0.91381,-0.47473,0.3126,0.39253,-0.65375,-0.421,-0.25045,2.7006,1.0977,0.37298
956,ARL10,-6.1044,-5.0969,-0.26662,-0.39152,-0.14059,-0.95784,-0.84814,-0.79671,-0.29119,-0.034707,0.65526,0.20111
957,ARL11,-4.4963,-4.8917,-0.021717,1.3067,0.23104,-0.21331,0.42197,-0.029997,0.20952,-0.39785,0.037634,0.11715
958,ARL13A,-4.8685,-4.2235,0.13415,0.97873,0.28827,0.17691,-0.39341,-0.11957,-4.632,-0.71772,0.22298,-0.19814
959,ARL13B,-5.3651,-5.262,-0.1271,0.16334,0.76883,0.25658,-0.014368,-0.22558,0.7679,-0.18484,-0.1836,-0.30898
960,ARL14,-5.3556,-5.0071,-0.32148,-1.0418,-0.82863,-0.22046,0.14742,0.018633,0.35456,-0.38819,0.030134,-0.21963
961,ARL14EP,-4.8918,-4.7662,-0.34042,-0.19538,-1.8203,-0.20384,-0.69154,-0.018202,-6.9965,-0.47297,-0.034626,0.23684
962,ARL14EPL,-6.2407,-5.2037,0.17253,0.27123,0.42743,0.18713,-0.30049,-0.010198,-7.5665,-0.73618,-0.54647,-0.49763
963,ARL15,-5.3185,-5.312,0.10034,0.73616,-1.795,0.10317,0.18053,-0.28372,-7.2821,-1.2417,-0.36403,-0.73818
964,ARL16,-5.3396,-4.638,-0.22499,0.030763,-0.82374,-0.12611,-0.20887,-0.12091,0.2092,-1.1138,-0.56825,-0.43894
965,ARL17A,-5.8677,-4.621,0.078628,-0.84971,0.84292,-0.14709,-0.47666,-0.19669,-2.0492,0.021584,0.72631,0.013254
966,ARL17B,-5.7804,-5.7605,-0.34749,0.26132,0.49921,-0.4267,-1.4211,-1.0474,-6.6298,-0.13213,-0.35888,-0.14806
967,ARL2,-5.3594,-5.0284,-1.0257,-1.2158,-1.239,-1.5249,-2.1503,-3.0488,-3.8024,1.1298,1.6148,0.35409
968,ARL2BP,-4.5483,-4.015,0.024466,0.57337,-3.0358,-0.96191,-0.21388,-0.098298,-3.1121,0.3952,0.31706,0.064873
969,ARL3,-4.4871,-3.7539,-0.32174,-0.49155,0.48742,-0.91213,-0.621,-0.24974,-3.3846,-0.72575,0.46093,0.27672
970,ARL4A,-3.687,-4.4802,-0.16411,0.43874,-1.4609,-0.74009,-0.6849,0.11784,-4.7595,0.018365,0.40228,0.1466
971,ARL4C,-4.4108,-4.8899,-0.12492,-0.076879,-2.4465,-0.14767,-1.0125,-0.92274,-4.6769,0.16278,-0.26008,-0.18127
972,ARL4D,-5.1096,-4.2815,-0.64101,0.97218,-0.24194,-0.49099,0.32948,-0.91587,-0.098763,0.017219,-0.29952,-0.64815
973,ARL5A,-4.8779,-4.7338,-0.23921,0.75177,0.49647,0.12903,-0.20115,-0.1315,-4.0246,-0.4113,-0.33382,-0.22572
974,ARL5B,-4.7489,-4.7688,-0.53772,1.0314,0.23351,-0.15082,-0.26551,-0.51231,-6.4714,-0.65635,-0.47073,-0.82015
975,ARL5C,-5.4007,-5.1016,-0.76782,-0.32848,-0.0033602,-0.55695,-0.51,-0.56882,0.52091,-0.13638,-0.091449,-0.33719
976,ARL6,-5.2565,-4.1442,-0.13881,-0.68204,0.29526,-0.35213,0.041323,-0.54949,-0.44505,-1.0998,-0.14106,-0.36648
977,ARL6IP1,-3.4206,-4.6023,0.1047,-0.045704,0.13843,-0.64726,-0.40002,-2.9247,-2.7926,-0.7538,-0.29873,-0.43075
978,ARL6IP5,-4.4593,-3.912,-0.33956,-0.096426,-0.49457,0.43024,-0.067994,0.51508,-0.52585,-0.39278,-0.080884,0.082655
979,ARL6IP6,-4.8655,-4.8799,-0.058568,-0.52475,-1.0974,-0.54511,-0.47675,-0.67072,-5.2092,-0.21621,-0.3006,-0.60156
980,ARL8A,-5.0321,-5.4507,0.15182,0.091963,0.016507,-0.78418,-0.58844,0.47406,-1.845,-0.8278,-0.14456,-0.35114
981,ARL8B,-4.3325,-4.3947,-0.39285,-0.39525,-0.598,0.77897,0.79475,0.2045,-1.1805,1.158,0.2316,0.1079
982,ARL9,-4.0302,-4.5286,-0.10998,0.068179,0.52052,-0.56114,-0.076278,0.014873,-2.1797,0.53561,0.12175,-0.41316
983,ARMC1,-3.3206,-2.0066,-0.34779,0.50328,-2.1615,-0.58467,-0.60489,-0.90182,-1.7822,-0.62716,-0.055403,-0.58408
984,ARMC10,-4.6598,-4.0825,-0.11087,-0.69774,-0.40517,-0.11436,-0.29776,-0.2933,-2.5326,-0.16743,0.80329,0.57212
985,ARMC12,-5.8069,-5.2465,-0.43436,-0.37141,-1.4777,-0.40895,-0.20308,-0.71106,-0.74113,-0.4249,-0.29441,-0.5329
986,ARMC2,-4.9852,-4.4486,-0.431,0.18424,-0.70713,-0.39098,-0.57686,0.52947,0.47636,-0.21633,0.12903,-0.32743
987,ARMC3,-4.0637,-2.2206,0.2757,0.61498,-0.26398,0.70364,-0.23587,-1.5344,-1.6453,-0.29747,0.16639,0.18769
988,ARMC4,-4.8561,-4.36,-0.097455,0.28739,0.37476,-0.49127,0.5507,0.45507,-4.4126,0.26953,0.10554,-0.21002
989,ARMC5,-4.1427,-3.4193,-1.2491,-1.0755,-1.482,-1.1001,0.30652,-1.0554,-4.1636,2.0253,1.2788,1.3011
990,ARMC6,-5.8243,-5.5725,0.048197,-0.31437,-0.071967,0.17429,0.08365,-1.1676,-3.1381,0.34544,0.68028,0.23745
991,ARMC7,-4.3781,-4.2189,-0.75248,-2.5786,0.18803,-2.0215,-2.3559,-2.0021,-3.8765,-2.7286,0.57026,-1.0097
992,ARMC8,-4.968,-4.1794,-0.012639,0.40918,-0.6041,-0.2208,-0.23555,0.32433,-1.0862,-0.18125,0.19391,0.029653
993,ARMC9,-5.1389,-4.2572,0.11447,0.35435,0.99216,-0.22146,-0.52786,-0.02985,-0.091783,-0.73743,0.093776,0.13794
994,ARMCX1,-4.8229,-4.7857,-0.0022446,0.61145,0.26736,-0.027371,0.27645,0.11173,-7.4704,-2.2364,-0.56264,0.039694
995,ARMCX2,-3.8017,-5.1852,0.17179,0.32406,-0.89269,0.48581,-0.12851,-0.043122,0.10737,-0.79635,0.36455,0.47716
996,ARMCX3,-4.3054,-5.7028,-0.22131,0.34666,-1.2857,-0.037632,0.32946,-0.17778,-1.0362,-0.79202,-0.16824,-0.088746
997,ARMCX4,-4.0649,-4.8713,-0.065192,0.29597,-0.092547,-0.0753,-0.39274,-0.50933,-4.8826,-1.1453,-0.031532,0.30571
998,ARMCX5,-5.0925,-5.1915,-0.11898,0.88872,-0.21334,0.14493,-0.24418,-0.70865,-1.8625,-0.49054,-0.024958,0.17707
999,ARMCX5-GPRASP2,-5.031,-5.9455,0.21959,0.64173,-0.6014,-0.0023106,-0.1024,-0.27502,0.13533,-0.83639,-0.015503,-0.22974
1000,ARMCX6,-5.2916,-4.4828,-0.24012,-0.37197,-2.7184,0.14539,-0.35134,-1.3208,-0.86807,-0.90769,-0.27323,0.14644
1001,ARMS2,-4.8053,-3.5579,0.0513,0.21295,0.77204,-0.35518,-0.55552,0.53504,-3.6756,-0.19581,-0.47335,-0.077927
1002,ARNT,-4.6365,-5.484,-0.1805,-0.044208,-0.96617,-0.045825,0.38864,0.57448,-2.5088,0.34705,0.16983,0.37563
1003,ARNT2,-4.4982,-4.2576,-0.089293,0.70628,-0.40714,-0.31084,-0.0055945,-0.026785,0.032592,0.055801,0.34453,0.29379
1004,ARNTL,-4.5057,-5.2043,-0.34007,0.0012181,-0.45116,-0.25003,-0.081835,-0.7453,-3.8031,-0.18384,-0.43812,-0.36208
1005,ARNTL2,-4.0028,-2.8647,0.040552,0.73624,-0.38038,-0.066079,-0.52889,-0.061486,-3.388,-0.64141,0.060754,0.32555
1006,ARPC1A,-4.664,-5.8665,0.19615,0.72446,-0.44418,-0.33133,-0.46015,-0.74328,-0.25001,-0.00088781,-0.10371,-0.34392
1007,ARPC1B,-5.5012,-2.3983,0.093426,-0.046228,0.19804,-0.34948,-1.0866,-0.79912,-3.0462,-0.18178,0.14811,-0.63087
1008,ARPC2,-5.1518,-5.0031,-0.15677,-0.83755,-1.2653,-0.41539,-0.84256,-1.1802,-7.0799,-0.83843,0.34101,-0.088247
1009,ARPC3,-4.2849,-4.8357,-0.08119,-0.91961,0.73073,-0.4493,-0.57876,-1.362,-4.0709,0.75513,0.30184,-0.27532
1010,ARPC4,-5.5702,-5.3947,-0.5808,-0.58944,-0.25624,-0.35636,-0.48597,-1.2739,-3.6722,0.74989,1.9568,0.92496
1011,ARPC4-TTLL3,-4.3644,-5.1589,-0.29796,0.42985,0.4188,-0.089547,0.07517,-1.8324,-1.6142,0.081266,0.8106,1.0117
1012,ARPC5,-6.0086,-5.4935,-0.2761,0.30282,-0.4998,-0.24956,-0.068419,0.10835,-0.72818,0.26653,-0.23316,-0.033907
1013,ARPC5L,-5.2967,-3.1058,-0.29456,0.28612,-0.27096,-0.25082,-0.71685,-0.094995,-3.2734,-0.80741,-0.5945,-0.57023
1014,ARPP19,-4.7385,-5.0898,-0.12977,-0.19915,0.16662,-0.14309,-0.40264,0.96354,-6.567,-0.49253,0.30883,-0.49455
1015,ARPP21,-4.8902,-3.6366,-0.17469,-0.1208,0.29162,-0.31658,-0.46294,-0.59863,-0.55236,-0.41137,0.47402,0.19702
1016,ARR3,-5.2454,-2.8734,-0.50728,-0.45658,0.55936,-0.0023259,-0.50282,-0.35209,0.28843,-0.65312,0.0011094,-0.27649
1017,ARRB1,-4.3293,-4.2866,-0.37711,1.4338,-0.36099,-0.062778,-0.62141,-0.079411,-0.53331,0.0037098,-0.149,-0.21427
1018,ARRB2,-3.822,-3.5053,-0.3824,1.0135,-0.32154,-0.63419,-0.59552,-0.36223,2.0285,-1.1189,-1.1575,-0.72903
1019,ARRDC1,-4.9339,-4.4603,0.12132,0.38764,-4.0578,-0.74824,-1.4642,-1.1215,-0.79371,0.56302,0.27765,0.16689
1020,ARRDC2,-4.8918,-4.596,-0.33689,-1.4869,-0.15523,0.31542,-0.14312,0.21816,-2.5701,0.86688,0.42633,-0.051543
1021,ARRDC3,-5.9099,-4.6034,0.25784,0.59937,-0.23776,0.12012,-0.68365,-0.15119,-0.088702,-0.30851,-0.13408,-0.375
1022,ARRDC4,-3.9009,-4.1453,-0.041451,1.7234,0.86137,-0.4501,-0.3427,-0.23467,-7.1322,-0.092531,-0.0048172,-0.052645
1023,ARRDC5,-4.0118,-4.8831,-0.077173,-0.053512,-0.4047,0.1322,0.016199,-1.3151,-3.3722,-0.0076499,0.39349,0.2057
1024,ARSA,-4.7846,-4.9092,-0.2902,0.23044,-0.91963,-0.68377,-0.86866,-0.32803,-4.3113,-0.61747,0.47558,0.57941
1025,ARSB,-5.405,-5.023,-0.29126,0.38177,-0.35708,0.18459,-0.1059,0.02895,0.32264,-0.60266,-0.31546,-0.44329
1026,ARSD,-4.3644,-4.9388,0.22411,0.28857,-0.43334,-0.41774,-1.1522,-1.543,0.88831,-0.58053,-0.48466,0.002142
1027,ARSE,-5.7349,-5.0017,-0.019193,0.34646,0.28784,-0.33268,-0.051109,0.56786,-6.9941,-1.233,-0.093691,-0.11429
1028,ARSF,-4.8221,-4.1143,0.065297,1.3763,0.6502,-0.15454,0.083618,-0.15273,-0.27973,-0.50324,-0.61324,-0.35487
1029,ARSG,-4.9987,-3.8682,0.11854,0.19618,-0.48643,-0.50741,0.30847,-0.2521,-0.83824,0.24529,-0.091523,0.085179
1030,ARSH,-4.7438,-4.6764,0.25703,0.07233,-0.57373,-0.11581,-0.29064,-0.011736,-0.088974,0.014651,-0.22204,-0.027817
1031,ARSI,-5.2245,-4.792,-0.045971,0.13451,-1.4025,-0.17057,-0.053578,-0.098997,-3.4533,-1.4901,0.071159,-0.11741
1032,ARSJ,-4.4038,-3.2718,-9.0979e-05,-0.62812,-0.45803,-0.25296,0.092427,-0.51802,-0.98518,-0.98783,0.085853,0.26614
1033,ARSK,-4.772,-4.7568,0.15762,-0.55679,-0.11401,-0.064534,-0.099967,-0.85175,0.11532,-0.70608,-0.41766,-0.63238
1034,ART1,-4.9495,-4.8424,0.49159,1.0472,-0.24387,-0.11331,-0.060942,-0.79304,-7.6535,-0.71883,-0.048141,-0.29468
1035,ART3,-4.9334,-4.6508,-0.27751,0.38911,-1.4102,0.38467,-0.59014,-0.016577,-5.0014,-0.49569,0.26714,0.073603
1036,ART4,-5.4396,-5.1306,0.10705,0.2428,0.48347,0.10428,-0.076973,0.23018,-0.58448,0.3462,0.14224,-0.7212
1037,ART5,-4.0302,-3.2922,0.10819,0.23388,0.4588,-0.23367,-0.43596,-0.4015,-0.23939,-0.24033,0.20654,-0.11592
1038,ARTN,-4.6033,-3.6717,-0.30145,-1.4165,-2.7783,-0.7637,-0.84383,-0.19762,-1.9859,-0.25926,0.026049,-0.1738
1039,ARV1,-5.5848,-5.1795,-0.14762,0.57913,-0.42495,0.0030548,-0.23013,-0.046289,-1.3468,-0.0869,0.38069,0.78456
1040,ARVCF,-4.4416,-2.9831,-0.26328,0.58091,-1.5331,-0.02349,-0.5245,-0.58198,-0.68344,-0.27735,0.32982,0.49666
1041,ARX,-4.3456,-3.418,-0.097299,-0.43278,-0.20729,-0.040127,-0.0013604,0.49864,-0.5369,-0.43292,-0.13743,-0.25992
1042,AS3MT,-4.8821,-4.8655,0.085649,0.52378,-0.15661,-0.31328,0.13301,0.058117,-4.7288,-0.94452,-0.48675,-0.35299
1043,ASAH1,-5.6625,-4.8088,0.1288,0.24018,0.42378,0.067301,-0.35045,-1.0296,-0.43124,-0.71892,-0.26667,-0.53207
1044,ASAH2,-3.7932,-5.353,0.15781,0.53251,-2.0676,0.071945,-0.36884,-0.49769,-7.746,-0.65216,-0.48332,-0.15012
1045,ASAH2B,-5.4161,-4.0842,0.7384,0.37092,-0.87851,-0.18903,-0.25823,0.24306,1.297,-0.058353,0.12481,0.13501
1046,ASAP1,-5.0582,-4.7972,0.076869,0.21435,0.37008,0.067647,-0.35197,-0.014955,-3.8125,-0.84986,-0.019223,0.024763
1047,ASAP2,-4.1453,-4.3714,-0.098073,0.68153,-1.8389,-0.44651,0.19102,-1.1283,0.31112,-0.82368,-0.078976,-0.19576
1048,ASAP3,-5.0677,-3.9466,-0.34916,0.54606,-0.96742,-0.15876,-0.12941,-0.29921,-2.9946,-0.45507,0.46687,0.44764
1049,ASB1,-5.1859,-5.6105,-0.020996,1.0007,0.36417,0.18162,-0.091802,-0.14864,-1.3303,-0.13183,-0.18695,-0.29162
1050,ASB10,-5.0824,-3.0316,-0.38757,0.28183,0.12058,-0.58322,-0.64569,-1.0989,0.36568,-0.24184,0.17448,-0.49377
1051,ASB11,-4.4475,-5.0842,-0.31401,0.18901,-0.8131,0.25302,-0.1857,-0.47673,0.31938,-0.73792,-0.51703,-0.61477
1052,ASB12,-4.4056,-3.0757,-0.27091,0.52262,-0.82292,-0.14006,-0.16833,-0.71512,0.26393,-0.93099,0.10691,0.013708
1053,ASB13,-6.1034,-4.8723,-0.27116,0.91188,-1.2257,-0.072698,0.15607,0.053376,-8.0057,-0.58229,-0.61129,-0.65033
1054,ASB14,-5.6451,-5.0315,0.13085,-0.16231,-0.56094,0.51318,0.24107,-0.79292,-1.905,-0.4634,0.13403,0.16446
1055,ASB15,-5.1362,-5.206,0.16701,0.65215,-0.35612,0.12693,-0.022676,-0.803,0.27846,-0.22123,0.039812,0.066782
1056,ASB16,-5.0767,-4.5788,-0.71695,0.028727,-0.74711,-0.32306,-0.95226,-0.43422,-2.2455,0.65749,0.99972,1.2114
1057,ASB17,-4.4696,-4.7887,0.20693,0.59613,-1.5334,-0.4153,0.076976,-0.17142,0.73685,-0.32505,0.30278,0.14852
1058,ASB18,-5.3904,-5.1699,-0.10083,-0.004056,-0.14016,-0.4633,-0.43188,-0.033921,-3.8622,0.06716,0.12176,-0.27197
1059,ASB2,-3.899,-2.5045,0.19944,-0.53422,-1.7313,-0.64401,-0.58479,-0.34805,-0.83823,-0.49791,-0.067319,-0.22635
1060,ASB3,-5.7223,-4.3004,-0.36248,0.30278,0.32078,-0.10853,-0.19359,-0.75495,-5.7126,0.20439,-0.38103,-0.10049
1061,ASB4,-4.1311,-4.9873,0.059273,0.45905,-1.0327,0.51721,-0.44422,-0.47153,-6.1267,-0.64289,-0.076612,-0.25913
1062,ASB5,-4.6479,-5.3718,-0.12857,0.57087,1.028,0.09433,-0.014157,-0.44611,-1.6503,-0.7775,-0.078544,0.20358
1063,ASB6,-5.0653,-5.017,-0.35188,-0.67044,-0.46738,-0.38809,-0.86928,-0.98483,-2.7989,-0.081034,0.86899,0.40924
1064,ASB7,-5.1991,-3.3194,0.45837,1.1951,-3.4513,0.44752,0.51842,-0.64442,-0.021486,0.012558,-0.054229,0.42563
1065,ASB8,-4.3064,-4.117,-0.15576,-0.067673,-0.043936,0.31089,0.06782,-1.1203,0.57186,-0.54529,-0.96564,-0.5256
1066,ASB9,-4.259,-3.856,-0.056635,-0.24935,-0.85617,0.1634,-0.0078697,0.043421,-0.87733,-0.85067,-0.59571,-0.57832
1067,ASCC1,-4.0628,-4.787,-0.076147,0.69954,-0.068468,-0.19655,0.27785,-0.58853,-6.6654,-0.72032,0.71904,0.37655
1068,ASCC2,-3.0074,-4.5379,-0.28265,0.92074,0.2332,-0.42676,-0.69283,-0.048018,-7.2972,-0.53617,0.40735,0.059553
1069,ASCC3,-1.1931,-5.7205,-0.43288,0.39842,0.073063,0.4238,-0.46135,-0.019878,-6.2959,0.54127,0.44611,1.4049
1070,ASCL1,-3.9067,-4.4536,-0.35096,-0.77339,0.18647,0.064066,-0.086368,-0.5026,-4.6989,-0.49487,-0.17659,-0.36371
1071,ASCL2,-5.2332,-3.6706,0.3849,-0.39707,0.43355,0.13889,0.19813,-0.7344,-3.4446,-0.28409,0.042308,-0.070511
1072,ASCL3,-5.8906,-5.0702,0.042653,0.1659,-0.92582,-0.29869,0.24653,0.13477,-3.172,0.10227,0.5886,0.43112
1073,ASCL4,-4.7448,-4.4536,-0.28609,0.88483,0.41871,-0.30954,-0.96992,-0.60391,-3.944,-0.13525,-0.51041,0.051694
1074,ASCL5,-5.0824,-3.5298,-0.35362,0.58174,0.66825,-0.66363,-0.090198,0.81574,-1.4349,-1.1304,0.18014,0.26626
1075,ASF1A,-4.5096,-5.5134,-0.2935,0.72841,-2.093,-0.8193,-0.4139,-0.69156,-3.7776,-0.51243,0.59231,0.21187
1076,ASF1B,-3.9067,-2.7515,-0.25388,0.58996,-0.69101,-0.15002,0.49468,-2.1364,-3.8004,-1.1837,0.41935,0.81611
1077,ASGR1,-4.0848,-4.3192,-0.11168,-0.14123,-1.8882,-1.2822,0.072245,-2.1946,-1.5232,-0.37117,0.22105,0.27958
1078,ASGR2,-4.4967,-4.0551,-0.29117,0.013779,-0.074255,-0.33466,-0.36733,-0.14382,-1.2961,-1.1699,0.15285,0.43421
1079,ASH1L,-4.3128,-4.3481,-0.12184,-1.2226,-3.9217,-0.97242,-0.25459,-0.018432,-4.9943,0.19882,0.27073,0.32262
1080,ASH2L,-4.7864,-4.989,-0.39375,0.13008,-3.0418,-0.84045,-1.4495,-2.5254,-2.2617,1.4852,0.41143,0.17446
1081,ASIC1,-4.9533,-4.2254,0.026773,-0.5834,-0.50416,-0.30364,-0.58074,-0.49896,0.586,0.033495,0.087421,-0.13036
1082,ASIC2,-4.3509,-3.9874,-0.31252,0.10721,-0.051456,-0.22714,-1.0197,-1.3128,-0.25385,-0.50789,-0.088283,-0.5802
1083,ASIC3,-5.9979,-5.0832,-0.44109,0.76582,-1.1759,-0.04548,-0.2239,0.56885,-4.5355,-0.77391,-0.035784,0.2195
1084,ASIC4,-5.4049,-5.5056,-0.08621,-0.45635,0.17514,-0.26786,-0.80319,-0.79772,-1.0429,-0.10471,-0.41618,-0.23262
1085,ASIC5,-5.3709,-5.9567,-0.12034,0.83131,0.72743,-0.041088,0.12695,-0.023739,-4.0556,-0.050312,-0.31262,-0.47106
1086,ASIP,-4.6262,-4.4857,0.074434,-0.21757,-1.9637,-0.29831,-0.14848,-0.44727,-0.65781,0.30388,0.046024,0.076062
1087,ASL,-4.9265,-5.4825,-0.30643,1.1445,-1.5913,-0.56168,-0.4259,0.51237,-2.7139,-0.83389,0.28063,0.24392
1088,ASNA1,-4.2169,-2.8928,0.12688,-2.8779,-0.6671,-1.1328,-0.14732,-0.91345,-5.4978,0.32203,-0.83794,-1.3559
1089,ASNS,-4.8114,-3.856,-0.042554,-0.074998,-0.81193,-1.0712,-1.2885,-0.60774,0.55321,-0.6474,0.17582,-0.15191
1090,ASNSD1,-4.2735,-4.5028,-0.28,0.057156,0.23369,-0.030184,-0.096799,0.1135,-3.9507,-0.86208,0.023721,-0.033065
1091,ASPA,-5.363,-5.5831,-0.020329,0.49189,0.31305,-0.11001,0.033268,-0.19904,0.94614,-0.1324,-0.049359,0.1488
